cardNum	rand
1	780315
2	456596
3	239184
4	34293
5	916237
6	184253
7	264293
8	119931
9	474816
10	679626
11	923279
12	114144
13	390214
14	358355
15	485833
16	352496
17	5835
18	545731
19	373451
20	904892
21	684283
22	601451
23	144283
24	471583
25	891948
26	624438
27	644330
28	773047
29	605912
30	905956
31	287234
32	633561
33	974167
34	587954
35	796388
36	41318
37	954060
38	266527
39	579940
40	386543
41	864236
42	207114
43	882655
44	827388
45	397347
46	384830
47	501651
48	294558
49	45623
50	964401
51	904172
52	503062
53	118595
54	224196
55	384742
56	622841
57	758312
58	780301
59	498370
60	570424
61	752217
62	342816
63	213107
64	83171
65	133413
66	380134
67	156508
68	128359
69	57485
70	988885
71	452805
72	624563
73	47283
74	546614
75	240865
76	772940
77	224584
78	783980
79	732664
80	78362
81	337272
82	350652
83	912989
84	678665
85	5522
86	913117
87	38824
88	371619
89	132867
90	519178
91	265388
92	131318
93	616384
94	93578
95	664636
96	654947
97	818609
98	857392
99	470934
100	968308
101	424760
102	352790
103	672383
104	271582
105	538821
106	416195
107	298665
108	90777
109	866272
110	472008
111	785417
112	567684
113	285856
114	512448
115	900975
116	16164
117	809938
118	727315
119	439417
120	543799
121	476658
122	93203
123	922301
124	564876
125	435996
126	57646
127	181653
128	810297
129	594395
130	3483
131	207578
132	183116
133	381244
134	394258
135	689703
136	47216
137	902143
138	744484
139	809742
140	33878
141	893219
142	169830
143	810397
144	399401
145	997124
146	487466
147	668245
148	47000
149	205486
150	9686
151	444126
152	113216
153	68459
154	941652
155	874865
156	78939
157	732345
158	852499
159	535222
160	393556
161	503230
162	385646
163	560767
164	424592
165	635003
166	575543
167	11740
168	85179
169	493167
170	858272
171	382855
172	32221
173	932218
174	320860
175	905953
176	191049
177	428293
178	60443
179	918437
180	430057
181	721705
182	730947
183	368536
184	846839
185	307461
186	423193
187	239997
188	431992
189	680263
190	223574
191	210914
192	73369
193	111858
194	935706
195	117001
196	140853
197	158523
198	17124
199	133698
200	698847
201	728631
202	607716
203	381204
204	216796
205	651568
206	840070
207	841952
208	422351
209	823318
210	844579
211	418453
212	178593
213	537983
214	519654
215	613745
216	375848
217	295786
218	379639
219	23009
220	507965
221	621141
222	131086
223	377412
224	36630
225	922081
226	169150
227	1902
228	79666
229	561381
230	61929
231	744642
232	255824
233	248402
234	165561
235	152827
236	55838
237	70660
238	758396
239	483000
240	790610
241	680064
242	764468
243	605410
244	455626
245	82422
246	131172
247	991579
248	603881
249	604132
250	65717
251	631685
252	266130
253	743492
254	897702
255	622456
256	821695
257	33660
258	202082
259	252569
260	393576
261	208995
262	986310
263	321275
264	137710
265	318739
266	17391
267	316094
268	855453
269	600572
270	696691
271	82267
272	522644
273	702665
274	411279
275	221087
276	430883
277	223625
278	518246
279	79228
280	345658
281	626422
282	160253
283	645504
284	337301
285	364954
286	924965
287	456946
288	442479
289	331003
290	722188
291	338684
292	377056
293	475516
294	722527
295	277716
296	896656
297	133034
298	721848
299	106445
300	762264
301	869456
302	178600
303	222695
304	616209
305	29098
306	782717
307	417125
308	564848
309	275435
310	958410
311	956210
312	246153
313	86909
314	344349
315	547404
316	868126
317	421038
318	269655
319	933869
320	632883
321	283267
322	589825
323	98666
324	312359
325	836802
326	327864
327	567072
328	828278
329	32378
330	679548
331	919039
332	84392
333	949961
334	761562
335	855383
336	540156
337	242611
338	809141
339	980005
340	754013
341	853986
342	279058
343	361502
344	708090
345	975108
346	231053
347	952898
348	592753
349	308070
350	538463
351	569488
352	435242
353	194147
354	239604
355	394154
356	27870
357	687812
358	312316
359	234998
360	790256
361	266337
362	464811
363	68807
364	933718
365	734487
366	298244
367	937726
368	640905
369	235828
370	503381
371	570015
372	559608
373	555582
374	424247
375	87964
376	929868
377	328207
378	432731
379	61739
380	651495
381	782377
382	711782
383	667661
384	455512
385	710356
386	125782
387	902683
388	283139
389	19828
390	825037
391	102327
392	297503
393	994721
394	859217
395	85956
396	781588
397	113205
398	391234
399	295589
400	757297
401	499071
402	740849
403	617675
404	580454
405	904589
406	446716
407	460905
408	772790
409	171741
410	416228
411	308286
412	150597
413	177897
414	121362
415	915722
416	338297
417	966587
418	156746
419	768013
420	917078
421	889608
422	622584
423	34163
424	244662
425	930454
426	740065
427	290992
428	603409
429	487897
430	513327
431	796465
432	989129
433	361499
434	571082
435	702562
436	696514
437	389194
438	687454
439	130111
440	42498
441	287949
442	86660
443	805351
444	652347
445	827508
446	518134
447	11432
448	526355
449	803799
450	154627
451	4487
452	474693
453	629801
454	821855
455	561729
456	382064
457	29818
458	780490
459	854364
460	208118
461	645284
462	697584
463	650843
464	534084
465	388333
466	886396
467	362985
468	181748
469	308316
470	300198
471	956948
472	838803
473	977631
474	182284
475	486893
476	93451
477	820315
